iter	Passed	Remaining
411	4299	6136
412	4311	6128
413	4323	6119
414	4335	6110
415	4346	6101
416	4359	6095
417	4372	6087
418	4373	6064
419	4384	6054
420	4395	6045
421	4407	6037
422	4420	6029
423	4432	6021
424	4443	6012
425	4456	6004
426	4467	5995
427	4480	5987
428	4491	5978
429	4503	5970
430	4516	5962
431	4528	5954
432	4539	5944
433	4550	5934
434	4561	5924
435	4573	5915
436	4585	5907
437	4596	5897
438	4607	5888
439	4619	5878
440	4630	5868
441	4641	5859
442	4653	5851
443	4665	5842
444	4675	5831
445	4687	5822
446	4700	5814
447	4712	5806
448	4723	5796
449	4736	5789
450	4748	5780
451	4761	5772
452	4772	5763
453	4784	5754
454	4796	5745
455	4808	5736
456	4820	5727
457	4831	5717
458	4843	5708
459	4854	5698
460	4865	5688
461	4877	5679
462	4888	5669
463	4900	5661
464	4912	5652
465	4913	5630
466	4925	5621
467	4937	5612
468	4949	5604
469	4962	5595
470	4973	5585
471	4984	5575
472	4996	5567
473	5008	5557
474	5018	5547
475	5030	5537
476	5041	5527
477	5053	5518
478	5065	5509
479	5076	5499
480	5089	5491
481	5100	5481
482	5112	5472
483	5124	5463
484	5135	5452
485	5135	5431
486	5147	5422
487	5160	5414
488	5171	5404
489	5184	5395
490	5196	5387
491	5207	5377
492	5220	5368
493	5232	5359
494	5244	5350
495	5255	5340
496	5266	5330
497	5278	5320
498	5290	5311
499	5301	5301
500	5314	5293
501	5326	5284
502	5339	5276
503	5350	5265
504	5361	5255
505	5363	5236
506	5375	5227
507	5387	5217
508	5399	5208
509	5411	5199
510	5423	5189
511	5435	5181
512	5446	5170
513	5458	5161
514	5470	5151
515	5481	5141
516	5492	5131
517	5504	5122
518	5515	5111
519	5527	5102
520	5538	5092
521	5549	5081
522	5560	5071
523	5573	5062
524	5583	5052
525	5595	5042
526	5607	5032
527	5619	5023
528	5630	5013
529	5642	5004
530	5655	4994
531	5655	4975
532	5657	4956
533	5668	4946
534	5679	4936
535	5692	4927
536	5704	4918
537	5715	4908
538	5727	4898
539	5739	4889
540	5752	4880
541	5763	4870
542	5774	4859
543	5786	4850
544	5799	4841
545	5810	4831
546	5821	4820
547	5833	4811
548	5844	4800
549	5856	4791
550	5867	4781
551	5879	4771
552	5891	4761
553	5903	4752
554	5915	4742
555	5926	4732
556	5939	4723
557	5950	4713
558	5962	4703
559	5963	4685
560	5976	4677
561	5989	4668
562	6000	4657
563	6012	4647
564	6024	4638
565	6036	4628
566	6048	4619
567	6059	4608
568	6072	4600
569	6085	4590
570	6097	4581
571	6107	4570
572	6119	4560
573	6131	4550
574	6142	4539
575	6153	4529
576	6165	4519
577	6177	4510
578	6189	4500
579	6200	4490
580	6212	4480
581	6224	4470
582	6235	4460
583	6247	4450
584	6258	4439
585	6268	4428
586	6280	4419
587	6292	4408
588	6304	4399
589	6306	4382
590	6317	4371
591	6329	4361
592	6340	4351
593	6351	4341
594	6362	4331
595	6375	4321
596	6387	4311
597	6399	4301
598	6412	4292
599	6423	4282
600	6435	4272
601	6436	4255
602	6447	4244
603	6458	4234
604	6470	4224
605	6480	4213
606	6493	4204
607	6504	4193
608	6516	4183
609	6527	4173
610	6532	4158
611	6544	4149
612	6556	4139
613	6567	4129
614	6580	4119
615	6591	4109
616	6604	4099
617	6615	4089
618	6627	4079
619	6638	4069
620	6651	4059
621	6662	4048
622	6674	4038
623	6686	4029
624	6698	4019
625	6708	4008
626	6720	3998
627	6732	3987
628	6743	3977
629	6756	3967
630	6768	3958
631	6779	3947
632	6792	3938
633	6804	3928
634	6815	3917
635	6826	3906
636	6837	3896
637	6849	3886
638	6860	3875
639	6872	3865
640	6884	3855
641	6885	3839
642	6886	3823
643	6896	3812
644	6907	3801
645	6908	3785
646	6920	3775
647	6931	3765
648	6943	3755
649	6954	3744
650	6966	3734
651	6978	3724
652	6988	3713
653	7000	3703
654	7011	3693
655	7026	3684
656	7038	3674
657	7049	3664
658	7061	3654
659	7073	3644
660	7085	3633
661	7095	3623
662	7107	3612
663	7119	3602
664	7132	3592
665	7144	3583
666	7155	3572
667	7168	3562
668	7180	3552
669	7190	3541
670	7202	3531
671	7214	3521
672	7220	3508
673	7232	3498
674	7243	3487
675	7256	3477
676	7268	3467
677	7280	3457
678	7292	3447
679	7296	3433
680	7309	3424
681	7322	3414
682	7333	3403
683	7345	3393
684	7356	3383
685	7368	3372
686	7380	3362
687	7392	3352
688	7403	3341
689	7414	3331
690	7427	3321
691	7439	3311
692	7450	3300
693	7462	3290
694	7475	3280
695	7486	3269
696	7497	3259
697	7509	3249
698	7520	3238
699	7532	3228
700	7544	3218
701	7554	3207
702	7565	3196
703	7578	3186
704	7589	3175
705	7602	3166
706	7613	3155
707	7625	3144
708	7637	3134
709	7648	3123
710	7660	3113
711	7673	3103
712	7682	3092
713	7683	3077
714	7695	3067
715	7706	3056
716	7718	3046
717	7730	3036
718	7743	3026
719	7754	3015
720	7767	3005
721	7778	2994
722	7789	2984
723	7801	2974
724	7812	2963
725	7824	2952
726	7835	2942
727	7846	2931
728	7858	2921
729	7870	2911
730	7881	2900
731	7891	2889
732	7904	2879
733	7916	2868
734	7928	2858
735	7939	2848
736	7954	2838
737	7965	2827
738	7977	2817
739	7989	2807
740	8001	2796
741	8013	2786
742	8025	2775
743	8036	2765
744	8048	2754
745	8062	2744
746	8074	2734
747	8086	2724
748	8097	2713
749	8108	2702
750	8123	2693
751	8134	2682
752	8146	2672
753	8159	2662
754	8172	2651
755	8184	2641
756	8195	2630
757	8208	2620
758	8220	2610
759	8232	2599
760	8244	2589
761	8245	2575
762	8258	2565
763	8270	2554
764	8282	2544
765	8293	2533
766	8305	2523
767	8316	2512
768	8329	2502
769	8339	2491
770	8351	2480
771	8364	2470
772	8376	2459
773	8388	2449
774	8401	2439
775	8412	2428
776	8423	2417
777	8435	2407
778	8448	2396
779	8460	2386
780	8472	2375
781	8485	2365
782	8497	2354
783	8510	2344
784	8522	2334
785	8534	2323
786	8545	2312
787	8557	2302
788	8569	2291
789	8581	2281
790	8593	2270
791	8605	2260
792	8616	2249
793	8628	2238
794	8641	2228
795	8654	2217
796	8666	2207
797	8677	2196
798	8689	2186
799	8701	2175
800	8713	2164
801	8725	2154
802	8738	2143
803	8749	2133
804	8761	2122
805	8772	2111
806	8784	2100
807	8788	2088
808	8800	2077
809	8812	2067
810	8823	2056
811	8825	2043
812	8837	2032
813	8849	2022
814	8862	2011
815	8873	2000
816	8886	1990
817	8898	1979
818	8911	1969
819	8923	1958
820	8935	1948
821	8948	1937
822	8961	1927
823	8973	1916
824	8985	1905
825	8997	1895
826	9009	1884
827	9021	1874
828	9032	1863
829	9043	1852
830	9056	1841
831	9068	1831
832	9081	1820
833	9092	1809
834	9104	1799
835	9116	1788
836	9128	1777
837	9139	1766
838	9151	1756
839	9162	1745
840	9173	1734
841	9185	1723
842	9195	1712
843	9207	1701
844	9220	1691
845	9232	1680
846	9243	1669
847	9255	1659
848	9268	1648
849	9279	1637
850	9289	1626
851	9301	1615
852	9312	1604
853	9323	1594
854	9336	1583
855	9348	1572
856	9361	1561
857	9371	1551
858	9383	1540
859	9394	1529
860	9405	1518
861	9416	1507
862	9428	1496
863	9440	1485
864	9451	1475
865	9463	1464
866	9475	1453
867	9486	1442
868	9500	1432
869	9511	1421
870	9523	1410
871	9534	1399
872	9549	1389
873	9560	1378
874	9571	1367
875	9583	1356
876	9596	1345
877	9599	1333
878	9610	1322
879	9621	1312
880	9633	1301
881	9645	1290
882	9658	1279
883	9668	1268
884	9680	1257
885	9693	1247
886	9704	1236
887	9707	1224
888	9718	1213
889	9729	1202
890	9741	1191
891	9752	1180
892	9765	1170
893	9777	1159
894	9790	1148
895	9801	1137
896	9812	1126
897	9825	1116
898	9836	1105
899	9847	1094
900	9859	1083
901	9871	1072
902	9881	1061
903	9894	1050
904	9906	1039
905	9917	1028
906	9929	1018
907	9941	1007
908	9952	996
909	9963	985
910	9975	974
911	9987	963
912	9998	952
913	10009	941
914	10021	930
915	10033	920
916	10044	909
917	10057	898
918	10070	887
919	10081	876
920	10092	865
921	10106	854
922	10116	843
923	10129	833
924	10141	822
925	10153	811
926	10164	800
927	10175	789
928	10187	778
929	10199	767
930	10211	756
931	10222	745
932	10234	734
933	10247	724
934	10259	713
935	10271	702
936	10284	691
937	10295	680
938	10306	669
939	10319	658
940	10330	647
941	10342	636
942	10354	625
943	10366	614
944	10377	603
945	10388	593
946	10400	582
947	10412	571
948	10422	560
949	10434	549
950	10446	538
951	10459	527
952	10470	516
953	10482	505
954	10495	494
955	10507	483
956	10519	472
957	10531	461
958	10546	450
959	10557	439
960	10570	428
961	10581	417
962	10594	407
963	10607	396
964	10618	385
965	10631	374
966	10644	363
967	10656	352
968	10667	341
969	10679	330
970	10690	319
971	10702	308
972	10715	297
973	10726	286
974	10737	275
975	10748	264
976	10760	253
977	10771	242
978	10782	231
979	10794	220
980	10805	209
981	10816	198
982	10828	187
983	10840	176
984	10851	165
985	10863	154
986	10874	143
987	10885	132
988	10897	121
989	10908	110
990	10920	99
991	10932	88
992	10944	77
993	10955	66
994	10967	55
995	10979	44
996	10990	33
997	11000	22
998	11012	11
999	11022	0
